,X,id,value,location,dates,measure,micrograms,value1,value2
24714,24714,292992,0.108,Boonsri,08-May-03,Ammonium,1000,108,0.007263434
24732,24732,293610,0.132,Boonsri,08-May-03,Ammonium,1000,132,0.00887753
24750,24750,294228,0.101,Boonsri,08-May-03,Ammonium,1000,101,0.006792656
24768,24768,298569,0.192,Chai,18-May-03,Ammonium,1000,192,0.012912772
24792,24792,299251,0.212,Chai,18-May-03,Ammonium,1000,212,0.014257852
24816,24816,299917,0.171,Chai,18-May-03,Ammonium,1000,171,0.011500437
24840,24840,303247,0.227,Kannika,21-May-03,Ammonium,1000,227,0.015266662
24862,24862,303607,0.25,Kannika,21-May-03,Ammonium,1000,250,0.016813505
24884,24884,303955,0.33,Kannika,21-May-03,Ammonium,1000,330,0.022193826
24906,24906,293016,0.54,Boonsri,22-May-03,Ammonium,1000,540,0.03631717
24919,24919,293634,0.58,Boonsri,22-May-03,Ammonium,1000,580,0.039007331
24932,24932,294252,0.66,Boonsri,22-May-03,Ammonium,1000,660,0.044387652
24945,24945,300474,0.95,Somchair,22-May-03,Ammonium,1000,950,0.063891318
24967,24967,300848,0.74,Busarakhan,22-May-03,Ammonium,1000,740,0.049767974
24989,24989,304314,0.505,Sakda,22-May-03,Ammonium,1000,505,0.033963279
25011,25011,304653,0.267,Sakda,22-May-03,Ammonium,1000,267,0.017956823
25033,25033,304998,0.241,Sakda,22-May-03,Ammonium,1000,241,0.016208218
25055,25055,298028,5.4,Kohsoom,24-May-03,Ammonium,1000,5400,0.3631717
25083,25083,298600,0.2,Chai,25-May-03,Ammonium,1000,200,0.013450804
25105,25105,299282,0.15,Chai,25-May-03,Ammonium,1000,150,0.010088103
25127,25127,299948,0.19,Chai,25-May-03,Ammonium,1000,190,0.012778264
25149,25149,293034,0.582,Boonsri,06-Jun-03,Ammonium,1000,582,0.039141839
25176,25176,293652,0.675,Boonsri,06-Jun-03,Ammonium,1000,675,0.045396462
25203,25203,294270,0.745,Boonsri,06-Jun-03,Ammonium,1000,745,0.050104244
25230,25230,298627,0.42,Chai,13-Jun-03,Ammonium,1000,420,0.028246688
25255,25255,299309,0.248,Chai,13-Jun-03,Ammonium,1000,248,0.016678997
25280,25280,299975,0.262,Chai,13-Jun-03,Ammonium,1000,262,0.017620553
25305,25305,293073,0.38,Boonsri,19-Jun-03,Ammonium,1000,380,0.025556527
25331,25331,293691,0.32,Boonsri,19-Jun-03,Ammonium,1000,320,0.021521286
25357,25357,294309,0.37,Boonsri,19-Jun-03,Ammonium,1000,370,0.024883987
25383,25383,298068,2.5,Kohsoom,21-Jun-03,Ammonium,1000,2500,0.168135046
25411,25411,298664,0.59,Chai,21-Jun-03,Ammonium,1000,590,0.039679871
25436,25436,299346,0.4,Chai,21-Jun-03,Ammonium,1000,400,0.026901607
25461,25461,300012,0.36,Chai,21-Jun-03,Ammonium,1000,360,0.024211447
25486,25486,303274,0.654,Kannika,26-Jun-03,Ammonium,1000,654,0.043984128
25509,25509,303634,0.285,Kannika,26-Jun-03,Ammonium,1000,285,0.019167395
25532,25532,303982,0.345,Kannika,26-Jun-03,Ammonium,1000,345,0.023202636
25555,25555,304341,0.39,Sakda,26-Jun-03,Ammonium,1000,390,0.026229067
25578,25578,304680,0.549,Sakda,26-Jun-03,Ammonium,1000,549,0.036922456
25601,25601,305025,0.318,Sakda,26-Jun-03,Ammonium,1000,318,0.021386778
25624,25624,300501,0.76,Somchair,28-Jun-03,Ammonium,1000,760,0.051113054
25647,25647,300875,0.5,Busarakhan,28-Jun-03,Ammonium,1000,500,0.033627009
25670,25670,298701,1.355,Chai,06-Jul-03,Ammonium,1000,1355,0.091129195
25687,25687,299383,0.996,Chai,06-Jul-03,Ammonium,1000,996,0.066985002
25704,25704,300049,1.082,Chai,06-Jul-03,Ammonium,1000,1082,0.072768848
25721,25721,293110,0.427,Boonsri,10-Jul-03,Ammonium,1000,427,0.028717466
25750,25750,293728,0.194,Boonsri,10-Jul-03,Ammonium,1000,194,0.01304728
25779,25779,294346,0.637,Boonsri,10-Jul-03,Ammonium,1000,637,0.04284081
25808,25808,298725,0.81,Chai,10-Jul-03,Ammonium,1000,810,0.054475755
25829,25829,299407,1.04,Chai,10-Jul-03,Ammonium,1000,1040,0.069944179
25850,25850,300073,1,Chai,10-Jul-03,Ammonium,1000,1000,0.067254018
25871,25871,300536,1.33,Somchair,12-Jul-03,Ammonium,1000,1330,0.089447845
25892,25892,300910,1,Busarakhan,12-Jul-03,Ammonium,1000,1000,0.067254018
25913,25913,303309,0.49,Kannika,24-Jul-03,Ammonium,1000,490,0.032954469
25934,25934,303669,0.73,Kannika,24-Jul-03,Ammonium,1000,730,0.049095433
25955,25955,304017,0.5,Kannika,24-Jul-03,Ammonium,1000,500,0.033627009
25976,25976,304376,0.34,Sakda,24-Jul-03,Ammonium,1000,340,0.022866366
25997,25997,304715,0.36,Sakda,24-Jul-03,Ammonium,1000,360,0.024211447
26018,26018,305060,0.84,Sakda,24-Jul-03,Ammonium,1000,840,0.056493375
26039,26039,293151,0.209,Boonsri,25-Jul-03,Ammonium,1000,209,0.01405609
26064,26064,293769,0.233,Boonsri,25-Jul-03,Ammonium,1000,233,0.015670186
26089,26089,294387,0.209,Boonsri,25-Jul-03,Ammonium,1000,209,0.01405609
26114,26114,298107,1.38,Kohsoom,26-Jul-03,Ammonium,1000,1380,0.092810545
26142,26142,293187,0.71,Boonsri,07-Aug-03,Ammonium,1000,710,0.047750353
26167,26167,293805,0.65,Boonsri,07-Aug-03,Ammonium,1000,650,0.043715112
26192,26192,294423,0.62,Boonsri,07-Aug-03,Ammonium,1000,620,0.041697491
26217,26217,298145,4.18,Kohsoom,09-Aug-03,Ammonium,1000,4180,0.281121797
26416,26416,298773,0.195,Chai,16-Aug-03,Ammonium,1000,195,0.013114534
26439,26439,299433,0.188,Chai,16-Aug-03,Ammonium,1000,188,0.012643755
26462,26462,300121,0.123,Chai,16-Aug-03,Ammonium,1000,123,0.008272244
26485,26485,300585,1.61,Somchair,20-Aug-03,Ammonium,1000,1610,0.10827897
26505,26505,300959,0.85,Busarakhan,20-Aug-03,Ammonium,1000,850,0.057165916
26525,26525,303358,0.51,Kannika,27-Aug-03,Ammonium,1000,510,0.034299549
26545,26545,303696,0.4,Kannika,27-Aug-03,Ammonium,1000,400,0.026901607
26565,26565,304064,0.39,Kannika,27-Aug-03,Ammonium,1000,390,0.026229067
26584,26584,298801,0.29,Chai,28-Aug-03,Ammonium,1000,290,0.019503665
26600,26600,299461,0.7,Chai,28-Aug-03,Ammonium,1000,700,0.047077813
26616,26616,300149,0.35,Chai,28-Aug-03,Ammonium,1000,350,0.023538906
26633,26633,304402,0.99,Sakda,28-Aug-03,Ammonium,1000,990,0.066581478
26653,26653,304741,0.82,Sakda,28-Aug-03,Ammonium,1000,820,0.055148295
26673,26673,305108,0.14,Sakda,28-Aug-03,Ammonium,1000,140,0.009415563
26693,26693,293217,0.17,Boonsri,05-Sep-03,Ammonium,1000,170,0.011433183
26708,26708,293835,0.15,Boonsri,05-Sep-03,Ammonium,1000,150,0.010088103
26723,26723,294453,0.19,Boonsri,05-Sep-03,Ammonium,1000,190,0.012778264
26738,26738,298197,3.24,Kohsoom,13-Sep-03,Ammonium,1000,3240,0.21790302
26762,26762,298823,0.23,Chai,13-Sep-03,Ammonium,1000,230,0.015468424
26776,26776,299483,0.29,Chai,13-Sep-03,Ammonium,1000,290,0.019503665
26800,26800,300171,0.27,Chai,13-Sep-03,Ammonium,1000,270,0.018158585
26814,26814,300611,0.32,Somchair,15-Sep-03,Ammonium,1000,320,0.021521286
26837,26837,300985,0.27,Busarakhan,16-Sep-03,Ammonium,1000,270,0.018158585
26859,26859,303384,0.11,Kannika,17-Sep-03,Ammonium,1000,110,0.007397942
26873,26873,303722,0.15,Kannika,17-Sep-03,Ammonium,1000,150,0.010088103
26896,26896,304090,0.13,Kannika,17-Sep-03,Ammonium,1000,130,0.008743022
26910,26910,304428,0.14,Sakda,18-Sep-03,Ammonium,1000,140,0.009415563
26924,26924,304767,0.12,Sakda,18-Sep-03,Ammonium,1000,120,0.008070482
26946,26946,305134,0.14,Sakda,18-Sep-03,Ammonium,1000,140,0.009415563
26960,26960,298842,0.51,Chai,08-Oct-03,Ammonium,1000,510,0.034299549
26987,26987,299512,0.55,Chai,08-Oct-03,Ammonium,1000,550,0.03698971
27013,27013,300190,0.68,Chai,08-Oct-03,Ammonium,1000,680,0.045732733
27039,27039,293237,0.202,Boonsri,09-Oct-03,Ammonium,1000,202,0.013585312
27068,27068,293855,0.17,Boonsri,09-Oct-03,Ammonium,1000,170,0.011433183
27097,27097,294473,0.155,Boonsri,09-Oct-03,Ammonium,1000,155,0.010424373
27126,27126,300640,0.47,Somchair,09-Oct-03,Ammonium,1000,470,0.031609389
27152,27152,301013,1.41,Busarakhan,09-Oct-03,Ammonium,1000,1410,0.094828166
27178,27178,298874,0.586,Chai,12-Oct-03,Ammonium,1000,586,0.039410855
27201,27201,299543,0.375,Chai,12-Oct-03,Ammonium,1000,375,0.025220257
27224,27224,300221,0.35,Chai,12-Oct-03,Ammonium,1000,350,0.023538906
27247,27247,293272,0.29,Boonsri,23-Oct-03,Ammonium,1000,290,0.019503665
27272,27272,293890,0.35,Boonsri,23-Oct-03,Ammonium,1000,350,0.023538906
27297,27297,294508,0.34,Boonsri,23-Oct-03,Ammonium,1000,340,0.022866366
27322,27322,304448,0.43,Sakda,23-Oct-03,Ammonium,1000,430,0.028919228
27348,27348,304795,0.46,Sakda,23-Oct-03,Ammonium,1000,460,0.030936848
27374,27374,305154,0.31,Sakda,23-Oct-03,Ammonium,1000,310,0.020848746
27400,27400,298226,1.53,Kohsoom,25-Oct-03,Ammonium,1000,1530,0.102898648
27419,27419,303404,0.69,Kannika,25-Oct-03,Ammonium,1000,690,0.046405273
27445,27445,303751,0.44,Kannika,25-Oct-03,Ammonium,1000,440,0.029591768
27471,27471,304110,0.98,Kannika,25-Oct-03,Ammonium,1000,980,0.065908938
27497,27497,293303,0.132,Boonsri,13-Nov-03,Ammonium,1000,132,0.00887753
27526,27526,293921,0.108,Boonsri,13-Nov-03,Ammonium,1000,108,0.007263434
27555,27555,294539,0.132,Boonsri,13-Nov-03,Ammonium,1000,132,0.00887753
27584,27584,298902,0.271,Chai,19-Nov-03,Ammonium,1000,271,0.018225839
27608,27608,299571,0.441,Chai,19-Nov-03,Ammonium,1000,441,0.029659022
27632,27632,300249,0.386,Chai,19-Nov-03,Ammonium,1000,386,0.025960051
27656,27656,303435,0.17,Kannika,20-Nov-03,Ammonium,1000,170,0.011433183
27679,27679,303782,0.2,Kannika,20-Nov-03,Ammonium,1000,200,0.013450804
27701,27701,304141,0.77,Kannika,20-Nov-03,Ammonium,1000,770,0.051785594
27723,27723,304479,0.409,Sakda,20-Nov-03,Ammonium,1000,409,0.027506894
27746,27746,304826,0.37,Sakda,20-Nov-03,Ammonium,1000,370,0.024883987
27768,27768,305185,0.175,Sakda,20-Nov-03,Ammonium,1000,175,0.011769453
27790,27790,300671,0.57,Somchair,22-Nov-03,Ammonium,1000,570,0.038334791
27813,27813,301044,0.64,Busarakhan,22-Nov-03,Ammonium,1000,640,0.043042572
27836,27836,293339,0.26,Boonsri,27-Nov-03,Ammonium,1000,260,0.017486045
27861,27861,293957,0.2,Boonsri,27-Nov-03,Ammonium,1000,200,0.013450804
27886,27886,294575,0.17,Boonsri,27-Nov-03,Ammonium,1000,170,0.011433183
27910,27910,298931,0.53,Chai,28-Nov-03,Ammonium,1000,530,0.03564463
27928,27928,299600,0.4,Chai,28-Nov-03,Ammonium,1000,400,0.026901607
27945,27945,300278,0.29,Chai,28-Nov-03,Ammonium,1000,290,0.019503665
27963,27963,298251,2.17,Kohsoom,29-Nov-03,Ammonium,1000,2170,0.14594122
27990,27990,293370,0.357,Boonsri,04-Dec-03,Ammonium,1000,357,0.024009685
28016,28016,293988,0.357,Boonsri,04-Dec-03,Ammonium,1000,357,0.024009685
28042,28042,294606,0.264,Boonsri,04-Dec-03,Ammonium,1000,264,0.017755061
28068,28068,298954,0.548,Chai,14-Dec-03,Ammonium,1000,548,0.036855202
28087,28087,299622,1.05,Chai,14-Dec-03,Ammonium,1000,1050,0.070616719
28106,28106,300300,1.09,Chai,14-Dec-03,Ammonium,1000,1090,0.07330688
28125,28125,293403,0.256,Boonsri,18-Dec-03,Ammonium,1000,256,0.017217029
28150,28150,294021,0.209,Boonsri,18-Dec-03,Ammonium,1000,209,0.01405609
28175,28175,294639,0.147,Boonsri,18-Dec-03,Ammonium,1000,147,0.009886341
28199,28199,303462,0.61,Kannika,18-Dec-03,Ammonium,1000,610,0.041024951
28212,28212,303808,0.57,Kannika,18-Dec-03,Ammonium,1000,570,0.038334791
28225,28225,304167,0.78,Kannika,18-Dec-03,Ammonium,1000,780,0.052458134
28238,28238,304506,1.33,Sakda,18-Dec-03,Ammonium,1000,1330,0.089447845
28251,28251,304852,0.509,Sakda,18-Dec-03,Ammonium,1000,509,0.034232295
28264,28264,305211,2.12,Sakda,18-Dec-03,Ammonium,1000,2120,0.142578519
28278,28278,300699,0.38,Somchair,19-Dec-03,Ammonium,1000,380,0.025556527
28293,28293,301072,0.55,Busarakhan,19-Dec-03,Ammonium,1000,550,0.03698971
28308,28308,298284,1.13,Kohsoom,20-Dec-03,Ammonium,1000,1130,0.075997041
28333,28333,298981,1.04,Chai,21-Dec-03,Ammonium,1000,1040,0.069944179
28348,28348,299649,0.59,Chai,21-Dec-03,Ammonium,1000,590,0.039679871
28363,28363,300327,0.45,Chai,21-Dec-03,Ammonium,1000,450,0.030264308
28378,28378,501108,0.435,Boonsri,08-Jan-04,Ammonium,1000,435,0.029255498
28400,28400,511261,0.825,Chai,22-Jan-04,Ammonium,1000,825,0.055484565
28428,28428,512252,0.556,Chai,22-Jan-04,Ammonium,1000,556,0.037393234
28456,28456,513405,0.627,Chai,22-Jan-04,Ammonium,1000,627,0.04216827
28484,28484,514390,1.12,Somchair,23-Jan-04,Ammonium,1000,1120,0.075324501
28508,28508,515142,1.08,Busarakhan,23-Jan-04,Ammonium,1000,1080,0.07263434
28534,28534,501136,0.202,Boonsri,29-Jan-04,Ammonium,1000,202,0.013585312
28552,28552,502271,0.124,Boonsri,29-Jan-04,Ammonium,1000,124,0.008339498
28570,28570,503485,0.147,Boonsri,29-Jan-04,Ammonium,1000,147,0.009886341
28588,28588,520687,1.3,Sakda,29-Jan-04,Ammonium,1000,1300,0.087430224
28614,28614,521399,1.03,Sakda,29-Jan-04,Ammonium,1000,1030,0.069271639
28640,28640,522189,1.02,Sakda,29-Jan-04,Ammonium,1000,1020,0.068599099
28665,28665,511302,0.99,Chai,30-Jan-04,Ammonium,1000,990,0.066581478
28685,28685,512293,1.19,Chai,30-Jan-04,Ammonium,1000,1190,0.080032282
28705,28705,513446,1.56,Chai,30-Jan-04,Ammonium,1000,1560,0.104916269
28726,28726,510429,2.79,Kohsoom,31-Jan-04,Ammonium,1000,2790,0.187638711
28744,28744,501160,0.132,Boonsri,12-Feb-04,Ammonium,1000,132,0.00887753
28773,28773,502295,0.139,Boonsri,12-Feb-04,Ammonium,1000,139,0.009348309
28801,28801,503509,0.31,Boonsri,12-Feb-04,Ammonium,1000,310,0.020848746
28828,28828,511335,0.52,Chai,13-Feb-04,Ammonium,1000,520,0.03497209
28854,28854,512326,0.711,Chai,13-Feb-04,Ammonium,1000,711,0.047817607
28881,28881,513479,0.513,Chai,13-Feb-04,Ammonium,1000,513,0.034501311
28920,28920,515181,1.06,Busarakhan,14-Feb-04,Ammonium,1000,1060,0.07128926
28946,28946,518637,0.909,Kannika,19-Feb-04,Ammonium,1000,909,0.061133903
28971,28971,519297,0.777,Kannika,19-Feb-04,Ammonium,1000,777,0.052256372
28996,28996,520026,0.792,Kannika,19-Feb-04,Ammonium,1000,792,0.053265183
29022,29022,520724,0.77,Sakda,19-Feb-04,Ammonium,1000,770,0.051785594
29048,29048,521436,0.94,Sakda,19-Feb-04,Ammonium,1000,940,0.063218777
29075,29075,522226,0.695,Sakda,19-Feb-04,Ammonium,1000,695,0.046741543
29100,29100,511367,1.69,Chai,22-Feb-04,Ammonium,1000,1690,0.113659291
29118,29118,512366,1.39,Chai,22-Feb-04,Ammonium,1000,1390,0.093483086
29137,29137,513512,1.31,Chai,22-Feb-04,Ammonium,1000,1310,0.088102764
29155,29155,501201,0.225,Boonsri,26-Feb-04,Ammonium,1000,225,0.015132154
29182,29182,502329,0.155,Boonsri,26-Feb-04,Ammonium,1000,155,0.010424373
29210,29210,503542,0.202,Boonsri,26-Feb-04,Ammonium,1000,202,0.013585312
29237,29237,510453,1.81,Kohsoom,28-Feb-04,Ammonium,1000,1810,0.121729773
29264,29264,501234,0.225,Boonsri,12-Mar-04,Ammonium,1000,225,0.015132154
29284,29284,502370,0.217,Boonsri,12-Mar-04,Ammonium,1000,217,0.014594122
29304,29304,503575,0.217,Boonsri,12-Mar-04,Ammonium,1000,217,0.014594122
29323,29323,511391,0.644,Chai,12-Mar-04,Ammonium,1000,644,0.043311588
29349,29349,512398,0.681,Chai,12-Mar-04,Ammonium,1000,681,0.045799987
29375,29375,513535,0.617,Chai,12-Mar-04,Ammonium,1000,617,0.041495729
29401,29401,514446,0.329,Somchair,14-Mar-04,Ammonium,1000,329,0.022126572
29425,29425,515218,0.16,Busarakhan,14-Mar-04,Ammonium,1000,160,0.010760643
29450,29450,520758,0.63,Sakda,19-Mar-04,Ammonium,1000,630,0.042370032
29473,29473,521478,0.6,Sakda,19-Mar-04,Ammonium,1000,600,0.040352411
29498,29498,522260,0.98,Sakda,19-Mar-04,Ammonium,1000,980,0.065908938
29521,29521,511425,0.08,Chai,21-Mar-04,Ammonium,1000,80,0.005380321
29544,29544,512439,0.22,Chai,21-Mar-04,Ammonium,1000,220,0.014795884
29568,29568,513569,0.05,Chai,21-Mar-04,Ammonium,1000,50,0.003362701
29590,29590,501261,0.132,Boonsri,26-Mar-04,Ammonium,1000,132,0.00887753
29615,29615,502404,0.101,Boonsri,26-Mar-04,Ammonium,1000,101,0.006792656
29643,29643,503601,0.077,Boonsri,26-Mar-04,Ammonium,1000,77,0.005178559
29670,29670,510493,1.44,Kohsoom,28-Mar-04,Ammonium,1000,1440,0.096845787
29697,29697,518669,0.126,Kannika,30-Mar-04,Ammonium,1000,126,0.008474006
29710,29710,519336,0.064,Kannika,30-Mar-04,Ammonium,1000,64,0.004304257
29723,29723,520059,0.054,Kannika,30-Mar-04,Ammonium,1000,54,0.003631717
29737,29737,501292,0.155,Boonsri,09-Apr-04,Ammonium,1000,155,0.010424373
29762,29762,502445,0.108,Boonsri,09-Apr-04,Ammonium,1000,108,0.007263434
29788,29788,503634,0.139,Boonsri,09-Apr-04,Ammonium,1000,139,0.009348309
29813,29813,511453,0.15,Chai,12-Apr-04,Ammonium,1000,150,0.010088103
29839,29839,512475,0.122,Chai,12-Apr-04,Ammonium,1000,122,0.00820499
29866,29866,513596,0.103,Chai,12-Apr-04,Ammonium,1000,103,0.006927164
29892,29892,514483,0.36,Somchair,16-Apr-04,Ammonium,1000,360,0.024211447
29915,29915,515256,0.37,Busarakhan,16-Apr-04,Ammonium,1000,370,0.024883987
29938,29938,511485,0.29,Chai,22-Apr-04,Ammonium,1000,290,0.019503665
29954,29954,512515,0.12,Chai,22-Apr-04,Ammonium,1000,120,0.008070482
29971,29971,513628,0.13,Chai,22-Apr-04,Ammonium,1000,130,0.008743022
29989,29989,501323,0.116,Boonsri,23-Apr-04,Ammonium,1000,116,0.007801466
30014,30014,502484,0.108,Boonsri,23-Apr-04,Ammonium,1000,108,0.007263434
30040,30040,503665,0.139,Boonsri,23-Apr-04,Ammonium,1000,139,0.009348309
30065,30065,520787,0.241,Sakda,23-Apr-04,Ammonium,1000,241,0.016208218
30089,30089,521516,0.26,Sakda,23-Apr-04,Ammonium,1000,260,0.017486045
30112,30112,522289,0.234,Sakda,23-Apr-04,Ammonium,1000,234,0.01573744
30134,30134,518689,0.223,Kannika,24-Apr-04,Ammonium,1000,223,0.014997646
30155,30155,519356,0.214,Kannika,24-Apr-04,Ammonium,1000,214,0.01439236
30177,30177,520079,0.235,Kannika,24-Apr-04,Ammonium,1000,235,0.015804694
30201,30201,510534,1.19,Kohsoom,25-Apr-04,Ammonium,1000,1190,0.080032282
30227,30227,501354,0.303,Boonsri,07-May-04,Ammonium,1000,303,0.020377968
30245,30245,502523,0.209,Boonsri,07-May-04,Ammonium,1000,209,0.01405609
30264,30264,503696,0.233,Boonsri,07-May-04,Ammonium,1000,233,0.015670186
30282,30282,511507,0.221,Chai,16-May-04,Ammonium,1000,221,0.014863138
30306,30306,512545,0.141,Chai,16-May-04,Ammonium,1000,141,0.009482817
30330,30330,513651,0.124,Chai,16-May-04,Ammonium,1000,124,0.008339498
30352,30352,518716,0.098,Kannika,22-May-04,Ammonium,1000,98,0.006590894
30376,30376,519391,0.485,Kannika,22-May-04,Ammonium,1000,485,0.032618199
30400,30400,520109,0.283,Kannika,22-May-04,Ammonium,1000,283,0.019032887
30424,30424,520817,0.422,Sakda,22-May-04,Ammonium,1000,422,0.028381196
30447,30447,521552,0.442,Sakda,22-May-04,Ammonium,1000,442,0.029726276
30472,30472,522317,0.299,Sakda,22-May-04,Ammonium,1000,299,0.020108952
30496,30496,501379,0.217,Boonsri,28-May-04,Ammonium,1000,217,0.014594122
30522,30522,502556,0.202,Boonsri,28-May-04,Ammonium,1000,202,0.013585312
30549,30549,503721,0.209,Boonsri,28-May-04,Ammonium,1000,209,0.01405609
30574,30574,511537,0.231,Chai,29-May-04,Ammonium,1000,231,0.015535678
30587,30587,512582,0.209,Chai,29-May-04,Ammonium,1000,209,0.01405609
30602,30602,513679,0.186,Chai,29-May-04,Ammonium,1000,186,0.012509247
30617,30617,510573,2.48,Kohsoom,30-May-04,Ammonium,1000,2480,0.166789966
30645,30645,514519,0.332,Somchair,30-May-04,Ammonium,1000,332,0.022328334
30670,30670,515292,0.282,Busarakhan,30-May-04,Ammonium,1000,282,0.018965633
30695,30695,501413,0.287,Boonsri,11-Jun-04,Ammonium,1000,287,0.019301903
30723,30723,502597,0.225,Boonsri,11-Jun-04,Ammonium,1000,225,0.015132154
30751,30751,503754,0.202,Boonsri,11-Jun-04,Ammonium,1000,202,0.013585312
30777,30777,518748,0.133,Kannika,12-Jun-04,Ammonium,1000,133,0.008944784
30800,30800,519430,0.069,Kannika,12-Jun-04,Ammonium,1000,69,0.004640527
30824,30824,520141,0.087,Kannika,12-Jun-04,Ammonium,1000,87,0.0058511
30847,30847,520848,0.363,Sakda,12-Jun-04,Ammonium,1000,363,0.024413209
30870,30870,521592,0.132,Sakda,12-Jun-04,Ammonium,1000,132,0.00887753
30894,30894,522349,0.189,Sakda,12-Jun-04,Ammonium,1000,189,0.012711009
30917,30917,511556,0.173,Chai,18-Jun-04,Ammonium,1000,173,0.011634945
30941,30941,512608,0.065,Chai,18-Jun-04,Ammonium,1000,65,0.004371511
30965,30965,513699,0.07,Chai,18-Jun-04,Ammonium,1000,70,0.004707781
30988,30988,514559,0.271,Somchair,19-Jun-04,Ammonium,1000,271,0.018225839
31012,31012,515332,0.22,Busarakhan,19-Jun-04,Ammonium,1000,220,0.014795884
31036,31036,501448,0.139,Boonsri,25-Jun-04,Ammonium,1000,139,0.009348309
31062,31062,502632,0.318,Boonsri,25-Jun-04,Ammonium,1000,318,0.021386778
31087,31087,503787,0.334,Boonsri,25-Jun-04,Ammonium,1000,334,0.022462842
31112,31112,510612,1.34,Kohsoom,27-Jun-04,Ammonium,1000,1340,0.090120385
31136,31136,511584,0.451,Chai,27-Jun-04,Ammonium,1000,451,0.030331562
31153,31153,512642,0.805,Chai,27-Jun-04,Ammonium,1000,805,0.054139485
31172,31172,513726,0.423,Chai,27-Jun-04,Ammonium,1000,423,0.02844845
31191,31191,514592,1.14,Somchair,02-Jul-04,Ammonium,1000,1140,0.076669581
31215,31215,515368,0.881,Busarakhan,02-Jul-04,Ammonium,1000,881,0.05925079
31240,31240,501480,0.116,Boonsri,09-Jul-04,Ammonium,1000,116,0.007801466
31267,31267,502663,0.108,Boonsri,09-Jul-04,Ammonium,1000,108,0.007263434
31297,31297,503818,0.139,Boonsri,09-Jul-04,Ammonium,1000,139,0.009348309
31327,31327,518777,0.074,Kannika,10-Jul-04,Ammonium,1000,74,0.004976797
31351,31351,519466,1.02,Kannika,10-Jul-04,Ammonium,1000,1020,0.068599099
31375,31375,520170,0.675,Kannika,10-Jul-04,Ammonium,1000,675,0.045396462
31398,31398,520877,0.093,Sakda,10-Jul-04,Ammonium,1000,93,0.006254624
31422,31422,521628,0.071,Sakda,10-Jul-04,Ammonium,1000,71,0.004775035
31446,31446,522378,0.196,Sakda,10-Jul-04,Ammonium,1000,196,0.013181788
31470,31470,511607,0.161,Chai,12-Jul-04,Ammonium,1000,161,0.010827897
31494,31494,512673,0.071,Chai,12-Jul-04,Ammonium,1000,71,0.004775035
31519,31519,513750,0.12,Chai,12-Jul-04,Ammonium,1000,120,0.008070482
31543,31543,511635,0.67,Chai,18-Jul-04,Ammonium,1000,670,0.045060192
31561,31561,512709,0.186,Chai,18-Jul-04,Ammonium,1000,186,0.012509247
31579,31579,513779,0.089,Chai,18-Jul-04,Ammonium,1000,89,0.005985608
31597,31597,501514,0.108,Boonsri,23-Jul-04,Ammonium,1000,108,0.007263434
31626,31626,502707,0.108,Boonsri,23-Jul-04,Ammonium,1000,108,0.007263434
31656,31656,503855,0.108,Boonsri,23-Jul-04,Ammonium,1000,108,0.007263434
31685,31685,510643,1.73,Kohsoom,25-Jul-04,Ammonium,1000,1730,0.116349452
31715,31715,501549,0.303,Boonsri,13-Aug-04,Ammonium,1000,303,0.020377968
31742,31742,502750,0.365,Boonsri,13-Aug-04,Ammonium,1000,365,0.024547717
31770,31770,503890,0.303,Boonsri,13-Aug-04,Ammonium,1000,303,0.020377968
31797,31797,511659,0.175,Chai,13-Aug-04,Ammonium,1000,175,0.011769453
31821,31821,512740,0.11,Chai,13-Aug-04,Ammonium,1000,110,0.007397942
31845,31845,513802,0.252,Chai,13-Aug-04,Ammonium,1000,252,0.016948013
31868,31868,514629,0.19,Somchair,14-Aug-04,Ammonium,1000,190,0.012778264
31893,31893,515406,0.274,Busarakhan,14-Aug-04,Ammonium,1000,274,0.018427601
31918,31918,518807,0.066,Kannika,19-Aug-04,Ammonium,1000,66,0.004438765
31941,31941,519503,0.161,Kannika,19-Aug-04,Ammonium,1000,161,0.010827897
31963,31963,520199,0.054,Kannika,19-Aug-04,Ammonium,1000,54,0.003631717
31985,31985,520907,0.045,Sakda,19-Aug-04,Ammonium,1000,45,0.003026431
32010,32010,521665,0.08,Sakda,19-Aug-04,Ammonium,1000,80,0.005380321
32034,32034,522408,0.078,Sakda,19-Aug-04,Ammonium,1000,78,0.005245813
32056,32056,511687,0.516,Chai,23-Aug-04,Ammonium,1000,516,0.034703074
32074,32074,512775,0.493,Chai,23-Aug-04,Ammonium,1000,493,0.033156231
32093,32093,513829,0.174,Chai,23-Aug-04,Ammonium,1000,174,0.011702199
32112,32112,501583,0.22,Boonsri,27-Aug-04,Ammonium,1000,220,0.014795884
32141,32141,502792,0.16,Boonsri,27-Aug-04,Ammonium,1000,160,0.010760643
32171,32171,503924,0.15,Boonsri,27-Aug-04,Ammonium,1000,150,0.010088103
32200,32200,510686,1.45,Kohsoom,29-Aug-04,Ammonium,1000,1450,0.097518327
32230,32230,518835,0.066,Kannika,03-Sep-04,Ammonium,1000,66,0.004438765
32255,32255,519537,0.052,Kannika,03-Sep-04,Ammonium,1000,52,0.003497209
32280,32280,520226,0.058,Kannika,03-Sep-04,Ammonium,1000,58,0.003900733
